,Team 1,Team 1 Label,T1 American Indian/Alaska Native,T1 Asian or Asian/Pacific Islander,T1 Hispanic,T1 Black,T1 White,T1 Nat. Hawaiian or Other Pacific Isl.,T1 Two or More Races,T1 Total Students,T1 Grades 9-12 Students,T1 Free and Reduced Lunch,T1 Pupil/Teacher Ratio,T1 Charter School,T1 Magnet School,T1 Expenditures/Pupil,MV,Total Games,Total Wins,Win Percentage
421773,Santa Fe,17374,2.3,1.9,74.3,1.3,19.4,0.1,0.7,1594.0,1594.0,0.313,18.41,0,1,15500,14.357142857142858,28,22,78.60000000000001
421801,Raton,17375,1.1,0.3,68.9,1.7,28.1,0.0,0.0,363.0,229.0,1.0,14.94,0,1,15200,6.32,25,16,64.0
421826,Santa Fe Indian,17376,11.3,2.8,59.9,2.1,21.1,0.0,2.8,142.0,45.0,1.0,3.74,0,1,†,-2.5555555555555554,27,11,40.699999999999996
421853,Roy/Mosquero,17377,,,,,,,,,,,,0,0,,12.827586206896552,29,23,79.3
421882,Robertson,17378,,,,,,,,,,,,0,0,,16.0,29,23,79.3
421911,Sandia Prep,17379,5.0,3.3,24.4,4.2,54.3,0.0,8.8,521.0,301.0,,8.53,1,1,,5.666666666666667,27,15,55.60000000000001
421938,Santa Fe Prep,17380,6.2,4.6,15.4,2.2,62.2,0.3,9.2,325.0,210.0,,8.17,1,1,,-3.923076923076923,26,14,53.800000000000004
421964,Sandia,17381,5.8,3.9,54.8,2.9,27.9,0.0,4.7,1737.0,1737.0,0.363,16.43,0,1,14476,5.142857142857143,28,18,64.3
421992,Ruidoso,17382,16.5,1.5,50.4,0.0,30.2,0.0,1.5,550.0,550.0,1.0,17.3,0,1,14070,5.28,26,13,50.0
422018,Santa Rosa,17383,0.5,1.1,93.1,0.0,5.3,0.0,0.0,188.0,188.0,1.0,12.23,0,1,18706,-1.7241379310344827,29,15,51.7
422047,Santa Fe Waldorf,17384,7.6,1.9,6.7,1.4,82.4,0.0,0.0,223.0,37.0,,10.61,1,1,,-15.35,20,8,40.0
422067,Shiprock,17385,95.2,0.0,2.4,0.0,0.8,0.0,1.6,125.0,125.0,1.0,11.52,0,1,18721,-19.46153846153846,26,6,23.1
422093,Tatum,17386,0.0,0.0,48.2,1.8,50.0,0.0,0.0,114.0,114.0,0.482,12.56,0,1,16222,-2.6818181818181817,22,10,45.5
422115,St. Pius X,17387,4.9,3.1,65.1,1.0,25.2,0.0,0.7,588.0,588.0,,12.95,1,1,,6.0,28,19,67.9
422143,Santa Teresa,17388,0.0,0.0,98.0,0.4,1.6,0.0,0.0,253.0,253.0,0.988,14.64,0,1,13613,-12.962962962962964,27,6,22.2
422170,Springer,17389,0.0,0.0,91.8,0.0,6.1,0.0,2.0,49.0,27.0,1.0,7.7,0,1,24890,6.916666666666667,24,15,62.5
422194,Socorro,17390,3.4,1.0,77.6,1.6,16.4,0.0,0.0,499.0,499.0,1.0,18.4,0,1,15380,13.321428571428571,28,22,78.60000000000001
422222,Texico,17391,1.2,0.6,48.8,3.0,46.4,0.0,0.0,166.0,166.0,0.416,13.22,0,1,13938,0.15384615384615385,26,13,50.0
422248,To'hajiilee,17392,,,,,,,,,,,,0,0,,-40.05555555555556,18,0,0.0
422266,Tierra Encantada,17393,0.3,0.0,94.2,1.0,4.4,0.0,0.0,294.0,192.0,0.384,17.29,1,1,12116,-22.8125,17,3,17.599999999999998
422283,St. Michael's,17394,6.5,1.1,54.9,2.3,30.2,0.1,5.0,1302.0,813.0,0.542,21.33,1,1,14341,1.8064516129032258,31,16,51.6
422314,Taos,17395,6.2,0.8,71.3,0.1,20.0,0.1,1.4,736.0,736.0,1.0,14.25,0,1,16980,14.586206896551724,29,22,75.9
422343,Tohatchi,17396,88.4,2.2,4.4,1.3,3.4,0.0,0.3,319.0,319.0,1.0,20.58,0,1,15761,-6.137931034482759,29,13,44.800000000000004
422372,Silver,17397,1.0,0.5,71.6,0.3,23.9,0.0,2.7,631.0,631.0,1.0,18.61,0,1,15022,19.642857142857142,28,25,89.3
422400,Thoreau,17398,84.0,1.4,6.4,0.7,6.0,0.0,1.4,419.0,419.0,1.0,19.95,0,1,15761,-5.481481481481482,28,11,39.300000000000004
422428,Tse' Yi' Gai,17399,88.0,1.2,6.0,0.0,4.8,0.0,0.0,83.0,83.0,1.0,10.38,0,1,15761,-14.733333333333333,15,5,33.300000000000004
422443,Tucumcari,17400,0.0,1.6,70.9,1.6,25.8,0.0,0.0,244.0,244.0,1.0,15.54,0,1,14193,-5.16,25,8,32.0
422468,Tularosa,17401,,,,,,,,,,,,0,0,,19.642857142857142,29,26,89.7
422497,Valencia,17402,3.7,0.1,73.4,0.6,21.2,0.0,1.0,907.0,907.0,0.516,20.71,0,1,11156,-9.615384615384615,26,6,23.1
422523,Walatowa Charter,17403,92.3,0.0,5.1,0.0,0.0,0.0,2.6,39.0,39.0,1.0,10.4,1,1,19815,-13.2,15,2,13.3
422538,Wagon Mound,17404,0.0,0.0,91.9,2.7,5.4,0.0,0.0,37.0,19.0,1.0,6.07,0,1,33451,-39.93333333333333,15,0,0.0
422553,Wingate,17405,,,,,,,,,,,,0,0,,-13.789473684210526,20,3,15.0
422573,West Las Vegas,17406,0.2,0.0,89.3,0.2,9.5,0.0,0.7,421.0,421.0,1.0,17.04,0,1,16650,-1.6296296296296295,27,10,37.0
422600,West Mesa,17407,5.9,0.4,84.2,2.1,5.2,0.2,2.1,1998.0,1998.0,1.0,16.89,0,1,14476,0.3076923076923077,26,11,42.3
422626,Valley,17408,3.1,0.4,86.1,1.1,8.1,0.0,1.1,1056.0,1056.0,1.0,14.75,0,1,14476,-2.6538461538461537,26,12,46.2
