,Team 1,Team 1 Label,T1 American Indian/Alaska Native,T1 Asian or Asian/Pacific Islander,T1 Hispanic,T1 Black,T1 White,T1 Nat. Hawaiian or Other Pacific Isl.,T1 Two or More Races,T1 Total Students,T1 Grades 9-12 Students,T1 Free and Reduced Lunch,T1 Pupil/Teacher Ratio,T1 Charter School,T1 Magnet School,T1 Expenditures/Pupil,MV,Total Games,Total Wins,Win Percentage
0,Anoka,1,0.3,5.2,5.3,11.1,71.2,0.1,6.8,2252.0,2252.0,0.239,18.44,0,0,16968,-10.52,27,5,18.5
27,Apple Valley,2,0.9,4.5,21.4,25.3,40.0,0.1,7.9,1827.0,1827.0,0.307,18.02,0,0,14871,-11.074074074074074,28,6,21.4
55,Adrian/Ellsworth,3,0.0,1.7,13.8,3.3,78.5,0.0,2.8,181.0,181.0,0.243,13.93,0,0,14238,-15.842105263157896,19,3,15.8
74,Academy of Holy Angels,4,,,,,,,,645.0,515.0,,0.0,1,1,,-0.5769230769230769,30,9,30.0
104,Academy for Sciences & Agriculture,5,0.0,5.9,12.6,13.4,63.0,0.0,5.0,238.0,188.0,0.475,14.36,1,0,16849,-21.8,16,3,18.8
120,Adrian,6,0.0,1.7,13.8,3.3,78.5,0.0,2.8,181.0,181.0,0.243,13.93,0,0,14238,-29.833333333333332,20,0,0.0
140,Apollo,7,0.6,4.7,10.5,38.1,39.4,0.0,6.6,1301.0,1301.0,0.487,21.39,0,0,17512,-11.444444444444445,29,7,24.099999999999998
169,Ada-Borup/Norman County West,8,,,,,,,,,,,,0,0,,4.611111111111111,18,9,50.0
187,Andover,9,0.4,3.2,4.5,4.5,82.1,0.1,5.2,1739.0,1739.0,0.115,21.34,0,0,16968,6.548387096774194,32,20,62.5
219,Alden-Conger,10,0.0,0.0,3.7,0.0,94.5,0.0,1.8,217.0,137.0,0.198,15.43,0,0,16060,-25.423076923076923,27,3,11.1
246,Albert Lea,11,0.0,6.2,34.8,2.7,52.7,0.0,3.6,112.0,90.0,0.527,20.9,0,0,16947,-32.76,26,1,3.8
272,Aitkin,12,0.7,0.2,1.8,0.7,93.0,0.0,3.5,543.0,368.0,0.25,13.5,0,0,14404,-5.666666666666667,28,11,39.300000000000004
300,Albany,13,0.0,0.6,2.5,0.0,94.8,0.0,2.1,517.0,517.0,0.103,22.27,0,0,14940,11.5,30,24,80.0
330,Ada-Borup,14,1.9,0.0,13.8,0.3,75.9,0.0,8.1,369.0,213.0,0.328,13.79,0,0,,3.6666666666666665,24,6,25.0
354,Annandale,15,0.0,0.8,3.5,0.2,92.1,0.2,3.2,596.0,596.0,0.077,16.93,0,0,13674,18.13888888888889,38,34,89.5
392,Alexandria,16,0.2,1.3,3.5,1.3,90.7,0.0,3.0,1303.0,1303.0,0.154,18.71,0,0,17070,14.5,28,23,82.1
420,Avail Academy,17,,,,,,,,,,,,0,0,,14.12,29,19,65.5
449,Atwater-Cosmos-Grove City,18,0.2,0.7,6.9,0.2,88.4,0.0,3.5,404.0,256.0,0.428,15.24,0,0,26016,-7.538461538461538,30,9,30.0
479,Badger/Greenbush-Middle River,19,0.0,1.8,1.8,0.9,93.8,0.0,1.8,113.0,77.0,0.23,12.28,0,0,17748,-3.4444444444444446,18,5,27.800000000000004
497,Ashby,20,1.6,1.6,0.0,0.0,96.1,0.0,0.8,129.0,87.0,0.217,13.61,0,0,12818,14.851851851851851,34,23,67.60000000000001
531,B O L D,21,0.0,0.5,12.6,0.0,86.0,0.0,0.9,214.0,209.0,0.252,9.02,0,0,14330,5.5,31,21,67.7
562,Austin,22,0.2,9.4,27.7,8.0,50.1,1.8,2.7,1273.0,1272.0,0.403,34.7,0,0,16555,6.5,34,17,50.0
596,Battle Lake,23,0.0,0.0,5.8,0.0,89.5,0.0,4.7,191.0,117.0,0.251,16.64,0,0,13789,0.75,30,14,46.7
626,Bagley,24,50.0,0.0,0.0,0.0,50.0,0.0,0.0,2.0,2.0,0.0,0.0,0,0,15558,-34.76923076923077,31,1,3.2
657,Barnum,25,0.0,0.0,3.5,0.5,84.6,0.0,11.4,369.0,249.0,0.268,17.11,0,0,12647,11.958333333333334,30,17,56.699999999999996
687,Benson,26,0.0,1.3,8.8,1.6,85.6,0.0,2.7,375.0,200.0,0.357,20.17,0,0,32015,-18.56,29,4,13.8
716,Bemidji,27,17.9,1.1,2.3,1.4,74.4,0.1,2.7,1388.0,1388.0,0.25,19.61,0,0,15735,5.956521739130435,26,15,57.699999999999996
742,Belle Plaine,28,0.2,1.4,6.4,1.2,85.8,0.0,4.9,485.0,485.0,0.105,24.73,0,0,12063,-3.8666666666666667,34,15,44.1
776,Benilde-St. Margaret's,29,,,,,,,,,,,,0,0,,4.148148148148148,29,17,58.599999999999994
805,Becker,30,0.3,0.7,2.7,1.6,92.5,0.0,2.2,861.0,861.0,0.11,17.36,0,0,13520,4.071428571428571,28,17,60.699999999999996
833,Belgrade-Brooten-Elrosa,31,0.3,0.3,7.8,0.0,91.3,0.0,0.3,345.0,213.0,0.229,16.6,0,0,31601,17.742857142857144,35,29,82.89999999999999
868,Barnesville,32,0.3,0.0,3.1,0.8,92.9,0.0,3.1,392.0,254.0,0.107,16.9,0,0,30491,4.814814814814815,31,16,51.6
899,Bertha-Hewitt,33,0.0,0.0,1.7,1.2,91.2,0.0,5.8,240.0,162.0,0.388,13.79,0,0,19405,-10.607142857142858,30,5,16.7
929,Bigfork,34,14.4,0.0,0.8,0.0,84.1,0.0,0.8,132.0,91.0,0.379,11.99,0,0,19733,-17.346153846153847,27,6,22.2
956,Bethlehem Academy,35,0.0,1.6,6.6,2.5,87.7,0.0,1.6,244.0,152.0,,12.45,1,1,,-7.454545454545454,25,9,36.0
981,Big Lake,36,0.3,1.8,7.0,3.9,81.2,0.1,5.7,876.0,876.0,0.147,34.05,0,0,16517,0.6071428571428571,29,14,48.3
1010,Blaine,37,0.4,10.3,7.3,12.5,62.1,0.0,7.3,2981.0,2981.0,0.247,19.82,0,0,16968,-5.791666666666667,26,6,23.1
1036,Blake,38,,,,,,,,,,,,0,0,,7.538461538461538,32,19,59.4
1068,Blackduck,39,8.9,0.3,3.0,0.7,77.5,0.0,9.6,302.0,191.0,0.437,18.53,0,0,16132,12.615384615384615,29,17,58.599999999999994
1097,Blue Earth,40,0.2,0.0,15.6,0.5,81.2,0.0,2.4,410.0,331.0,0.344,18.23,0,0,13891,-3.0,27,10,37.0
1124,Blooming Prairie,41,0.0,0.0,7.5,0.6,90.6,0.0,1.4,361.0,246.0,0.299,15.47,0,0,13030,-16.565217391304348,29,3,10.299999999999999
1153,Brandon/Evansville/New Testament Christian,42,,,,,,,,,,,,0,0,,-2.0,19,8,42.1
1172,Breckenridge,43,66.7,0.0,0.0,0.0,33.3,0.0,0.0,3.0,3.0,0.0,17.65,0,0,15092,-12.384615384615385,28,5,17.9
1200,Breck,44,1.2,6.7,3.4,8.8,68.7,0.0,11.1,1120.0,484.0,,11.46,1,1,,0.0,29,10,34.5
1229,Brooklyn Center/Parnassus Prep,45,1.7,17.1,24.6,45.5,5.6,0.0,5.4,573.0,573.0,0.778,18.77,0,1,18483,-28.105263157894736,19,2,10.5
1248,Browerville,46,0.0,0.7,7.9,0.0,90.3,0.4,0.7,279.0,178.0,0.394,10.12,0,0,17574,5.565217391304348,27,14,51.9
1275,Brandon/Evansville,47,,,,,,,,,,,,0,0,,9.083333333333334,24,8,33.300000000000004
1299,Buffalo,48,0.4,1.5,4.7,1.7,88.7,0.1,2.9,1848.0,1848.0,0.129,25.8,0,0,14431,3.962962962962963,29,16,55.2
1328,Braham,49,0.0,0.3,1.9,2.2,90.0,0.3,5.3,319.0,202.0,0.185,21.45,0,0,13194,-9.608695652173912,30,8,26.700000000000003
1358,Brainerd,50,1.3,0.8,2.1,1.0,91.8,0.1,3.0,1862.0,1862.0,0.213,20.77,0,0,26114,4.785714285714286,30,18,60.0
1388,Buffalo Lake-Hector-Stewart,51,0.0,0.0,15.4,0.0,81.0,0.0,3.6,279.0,156.0,0.269,16.22,0,0,14937,-1.7272727272727273,27,8,29.599999999999998
1415,Byron,52,,,,,,,,,,,,0,0,,0.038461538461538464,28,13,46.400000000000006
1443,Burnsville,53,0.4,8.7,22.0,25.4,37.4,0.2,5.8,2126.0,2126.0,0.398,19.32,0,0,17544,-28.52,26,3,11.5
1469,Cambridge-Isanti,54,0.6,2.3,4.1,1.5,86.4,0.1,5.1,1541.0,1541.0,0.195,25.06,0,0,12923,-9.0,28,8,28.599999999999998
1497,Cannon Falls,55,,,,,,,,,,,,0,0,†,-8.73076923076923,28,6,21.4
1525,Caledonia,56,0.0,0.3,1.0,1.0,95.5,0.0,2.1,291.0,291.0,0.131,14.48,0,0,14532,19.939393939393938,35,31,88.6
1560,Canby,57,0.0,0.7,4.3,1.0,92.5,0.0,1.6,305.0,201.0,0.308,23.77,0,0,15330,-11.521739130434783,27,3,11.1
1587,Carlton,58,13.9,0.5,2.1,0.5,75.8,0.0,7.2,194.0,113.0,0.263,11.94,0,0,15686,-13.423076923076923,31,6,19.400000000000002
1618,Cedar Mountain,59,10.2,0.4,5.1,0.0,75.8,0.0,8.6,256.0,160.0,0.273,18.42,0,0,18149,-6.782608695652174,28,8,28.599999999999998
1646,Cass Lake-Bena,60,87.4,0.0,0.7,0.0,10.6,0.0,1.4,293.0,293.0,0.608,12.07,0,0,23389,18.806451612903224,35,27,77.10000000000001
1681,Centennial,61,0.4,4.9,5.3,5.5,78.5,0.0,5.4,1962.0,1962.0,0.112,42.5,0,0,14764,-12.884615384615385,28,6,21.4
1709,Chanhassen,62,0.3,3.7,8.2,2.2,81.1,0.0,4.5,1438.0,1438.0,0.084,22.95,0,0,15825,-1.0714285714285714,28,16,57.099999999999994
1737,Central,63,,,,,,,,,,,,0,0,,0.6666666666666666,35,14,40.0
1772,Central Minnesota Christian,64,,,,,,,,,,,,0,0,,15.689655172413794,30,25,83.3
1802,Chaska,65,0.4,3.8,13.2,7.3,70.6,0.1,4.6,1581.0,1581.0,0.18,23.69,0,0,15825,-2.740740740740741,29,10,34.5
1831,Chesterton Academy,66,,,,,,,,,,,,0,0,,-14.75,19,1,5.3
1850,Champlin Park,67,0.6,15.1,8.9,20.1,46.9,0.0,8.4,3008.0,3008.0,0.285,20.55,0,0,16968,-11.115384615384615,26,6,23.1
1876,Century,68,0.3,9.9,8.7,12.7,62.9,0.0,5.4,1578.0,1578.0,0.237,43.4,0,0,18898,-1.2592592592592593,28,13,46.400000000000006
1904,Christ's Household of Faith,69,3.8,21.4,18.3,35.9,16.0,0.8,3.8,131.0,131.0,0.527,29.71,0,0,22154,-8.071428571428571,28,3,10.7
1932,Chatfield,70,0.0,0.7,1.6,0.7,95.2,0.0,1.8,435.0,296.0,0.106,18.54,0,0,13468,9.615384615384615,30,17,56.699999999999996
1962,Cherry,71,1.9,0.0,2.6,0.4,85.3,0.0,9.8,266.0,176.0,0.274,13.54,0,0,21596,22.333333333333332,33,27,81.8
1995,Chisholm,72,3.5,0.3,1.2,1.8,90.1,0.0,3.2,342.0,206.0,0.38,17.45,0,0,17665,27.32,25,19,76.0
2020,Chisago Lakes Area,73,0.6,1.8,1.4,0.6,92.5,0.0,3.2,1079.0,1079.0,0.111,18.39,0,0,14542,-15.0,28,5,17.9
2048,Clearbrook-Gonvick,74,19.0,0.9,0.9,0.0,73.5,0.0,5.7,211.0,148.0,0.464,25.45,0,0,18882,-11.590909090909092,34,5,14.7
2082,Clinton-Graceville-Beardsley,75,0.0,0.0,2.3,0.8,96.9,0.0,0.0,131.0,83.0,0.275,10.56,0,0,15242,-21.454545454545453,28,2,7.1
2110,Cleveland,76,0.4,0.0,5.4,0.8,91.5,0.0,1.9,258.0,173.0,0.163,16.15,0,0,27894,-32.95652173913044,28,0,0.0
2138,Cloquet,77,17.2,0.0,4.3,2.2,62.4,0.0,14.0,93.0,86.0,0.538,16.32,0,0,15974,0.5714285714285714,28,16,57.099999999999994
2166,Community of Peace Academy,78,0.4,31.2,29.2,26.4,5.6,0.0,7.2,250.0,250.0,0.8,19.9,1,0,16028,-8.666666666666666,26,4,15.4
2192,Como Park,79,1.3,30.9,11.6,32.4,17.6,0.0,6.2,1085.0,1085.0,0.621,19.71,0,0,22154,6.458333333333333,27,13,48.1
2219,Columbia Heights,80,,,,,,,,,,,,1,1,,25.12,28,24,85.7
2247,Concordia Academy,81,,,,,,,,,,,,0,0,,6.8,34,16,47.099999999999994
2281,Cotter/Hope Lutheran,82,,,,,,,,,,,,0,0,,-15.958333333333334,24,5,20.8
2305,Cotter,83,0.3,11.7,2.7,0.5,79.5,0.0,5.3,376.0,245.0,,14.52,1,1,,-16.0,21,3,14.299999999999999
2326,Coon Rapids,84,0.9,8.8,9.6,19.9,52.8,0.0,7.9,2193.0,2193.0,0.394,18.09,0,0,16968,6.724137931034483,29,19,65.5
2355,Crookston,85,7.3,0.9,22.1,1.2,64.2,0.0,4.2,565.0,374.0,0.453,17.02,0,0,17272,-23.08,31,4,12.9
2386,Cristo Rey Jesuit,86,,,,,,,,,,,,0,0,,-16.580645161290324,33,1,3.0
2419,Dawson-Boyd,87,0.4,0.7,7.5,0.0,86.9,0.0,4.5,268.0,178.0,0.261,17.46,0,0,32866,10.84,28,17,60.699999999999996
2447,Crosby-Ironton,88,0.0,0.4,2.4,0.6,90.6,0.0,6.0,467.0,312.0,0.268,18.31,0,0,20120,10.448275862068966,29,20,69.0
2476,Cromwell,89,4.7,0.0,3.0,0.6,88.8,0.0,3.0,169.0,116.0,0.154,13.46,0,0,15854,-2.1481481481481484,27,14,51.9
2503,Dassel-Cokato,90,0.0,0.5,4.1,0.7,93.6,0.2,1.0,591.0,591.0,0.107,15.74,0,0,15140,-8.62962962962963,31,8,25.8
2534,Cook County,91,19.2,0.0,6.6,0.0,67.7,0.0,6.6,167.0,167.0,0.305,10.62,0,0,21531,-30.52173913043478,23,3,13.0
2557,Cretin-Derham Hall,92,,,,,,,,,,,,0,0,,3.21875,32,20,62.5
2589,DeLaSalle,93,0.7,5.0,14.2,18.0,45.2,0.8,16.2,728.0,728.0,,16.74,1,1,,17.266666666666666,34,23,67.60000000000001
2623,Delano,94,0.0,0.8,2.4,0.4,92.2,0.0,4.2,1213.0,802.0,0.052,19.17,0,0,14704,-5.296296296296297,29,8,27.6
2652,Deer River,95,31.9,0.5,1.6,0.9,50.2,0.2,14.6,432.0,241.0,0.576,15.03,0,0,20039,18.5,30,23,76.7
2682,Denfeld,96,,,,,,,,,,,,0,0,,-12.666666666666666,27,3,11.1
2709,Detroit Lakes,97,17.6,0.9,1.3,1.3,76.2,0.1,2.6,899.0,899.0,0.248,19.45,0,0,23826,-3.6956521739130435,30,10,33.300000000000004
2739,Dover-Eyota,98,0.3,0.3,1.7,0.6,92.4,0.0,4.8,353.0,353.0,0.147,18.9,0,0,12283,-11.333333333333334,27,6,22.2
2766,Dilworth-Glyndon-Felton,99,0.9,0.0,7.6,0.5,86.5,0.0,4.6,436.0,436.0,0.149,16.41,0,0,19825,7.346153846153846,32,20,62.5
2798,Duluth East,100,0.8,1.7,2.8,1.8,87.6,0.1,5.2,1513.0,1513.0,0.141,29.12,0,0,16239,1.1379310344827587,32,14,43.8
2830,Eagle Ridge Academy,101,,,,,,,,,,,,0,0,†,5.75,24,14,58.3
2854,Eagan,102,0.4,10.6,11.7,9.0,63.4,0.0,4.9,2111.0,2111.0,0.12,19.56,0,0,14871,-9.0,28,8,28.599999999999998
2882,East Ridge,103,0.2,13.7,7.3,8.5,65.5,0.1,4.7,1980.0,1980.0,0.081,43.33,0,0,15762,12.785714285714286,29,22,75.9
2911,East Grand Forks,104,0.9,0.2,10.1,8.1,76.1,0.0,4.6,545.0,545.0,0.25,30.09,0,0,14580,4.708333333333333,35,12,34.300000000000004
2946,East Central,105,,,,,,,,,,,,0,0,,-22.714285714285715,26,4,15.4
2972,Eastview,106,0.0,9.1,20.0,14.5,47.3,0.0,9.1,55.0,55.0,0.145,0.0,0,0,14871,13.0,31,23,74.2
3003,Edgerton,107,0.0,0.0,22.1,2.7,72.6,0.0,2.7,226.0,115.0,0.398,12.94,0,0,14832,-23.391304347826086,29,1,3.4000000000000004
3032,Eden Prairie,108,,,,,,,,,,,,0,0,†,6.161290322580645,31,19,61.3
3063,Eden Valley-Watkins,109,0.4,0.4,2.5,0.6,94.1,0.0,1.9,477.0,309.0,0.176,17.16,0,0,16259,4.454545454545454,28,12,42.9
3091,Edina,110,0.1,8.1,7.4,11.5,67.2,0.1,5.4,2680.0,2680.0,0.119,20.33,0,0,19262,0.32142857142857145,30,15,50.0
3121,Edison,111,3.5,3.5,15.3,51.2,23.7,0.0,2.7,933.0,933.0,0.712,0.0,0,0,22524,-4.5,26,10,38.5
3147,Elk River,112,0.4,2.1,3.5,4.0,85.2,0.1,4.7,1631.0,1631.0,0.101,31.72,0,0,17036,-0.038461538461538464,28,13,46.400000000000006
3175,Ely,113,0.6,0.0,2.5,1.8,87.1,0.0,8.0,163.0,163.0,0.147,13.91,0,0,20408,0.6296296296296297,28,15,53.6
3203,Faribault,114,0.2,2.2,23.1,19.0,52.8,0.0,2.7,1055.0,1055.0,0.457,15.31,0,0,18358,-20.692307692307693,28,3,10.7
3231,Fairmont,115,0.0,1.0,16.2,1.0,78.9,0.1,3.0,842.0,556.0,0.386,15.49,0,0,16339,-2.5925925925925926,31,13,41.9
3262,Fergus Falls,116,1.2,0.8,5.8,5.4,74.7,0.0,12.1,257.0,257.0,0.265,11.48,0,0,14223,-11.04,27,8,29.599999999999998
3289,Esko,117,0.8,0.5,2.8,0.5,91.4,0.0,4.0,606.0,398.0,0.059,22.27,0,0,12049,20.387096774193548,32,26,81.2
3321,Farmington,118,0.3,4.0,9.2,3.8,77.5,0.0,5.2,2212.0,2212.0,0.111,19.19,0,0,14331,14.10344827586207,29,21,72.39999999999999
3350,Fertile-Beltrami,119,0.8,0.4,1.6,0.8,93.5,0.0,2.9,245.0,157.0,0.196,17.56,0,0,17385,21.34375,34,27,79.4
3384,Floodwood,120,0.0,0.0,2.9,5.7,78.6,0.0,12.9,70.0,47.0,0.3,11.25,0,0,18408,-24.391304347826086,23,2,8.7
3407,Forest Lake,121,0.5,5.2,4.1,2.1,84.2,0.0,3.9,1883.0,1883.0,0.133,27.41,0,0,16980,-12.178571428571429,28,6,21.4
3435,Fillmore Central,122,,,,,,,,,,,,0,0,14796,-2.5,32,10,31.2
3467,Fourth Baptist Christian,123,0.0,6.6,4.0,6.6,74.5,0.0,8.4,299.0,77.0,,14.86,1,1,,-9.4,12,4,33.300000000000004
3479,First Baptist,124,0.0,7.1,11.6,20.2,57.1,0.0,4.0,233.0,57.0,,10.0,1,1,,11.185185185185185,29,18,62.1
3508,Fond du Lac Ojibwe Ogichida,125,,,,,,,,,,,,0,0,,-11.043478260869565,28,7,25.0
3536,Fosston,126,13.0,0.0,3.2,0.4,79.6,0.0,3.9,284.0,192.0,0.384,15.88,0,0,25784,11.4,30,14,46.7
3566,Foley,127,0.2,0.0,1.0,0.0,97.6,0.0,1.3,628.0,628.0,0.148,29.4,0,0,13072,-11.6,28,5,17.9
3594,Fridley,128,0.0,7.4,11.1,48.1,27.8,0.0,5.6,108.0,86.0,0.546,40.15,0,0,17166,-6.739130434782608,27,9,33.300000000000004
3621,Frazee,129,4.7,0.0,2.7,0.7,83.4,0.0,8.4,404.0,261.0,0.272,13.54,0,0,18449,-20.5,27,4,14.799999999999999
3648,Glenville-Emmons,130,0.0,0.0,4.7,1.9,93.4,0.0,0.0,106.0,70.0,0.236,15.75,0,0,18700,-33.17391304347826,28,0,0.0
3676,Gibbon-Fairfax-Winthrop,131,1.1,0.3,18.7,1.3,77.1,0.0,1.6,380.0,224.0,0.287,20.88,0,0,15969,-10.214285714285714,31,5,16.1
3707,Glencoe-Silver Lake,132,0.8,0.4,20.6,0.8,76.3,0.0,1.1,528.0,528.0,0.174,32.47,0,0,14706,3.09375,35,19,54.300000000000004
3742,Granada-Huntley-East Chain/Martin Luther/Truman,133,0.0,0.0,2.0,0.0,96.9,0.0,1.0,98.0,98.0,0.265,15.1,0,0,17413,-3.0,29,10,34.5
3771,Goodridge/Grygla,134,4.7,1.9,5.6,0.0,87.9,0.0,0.0,107.0,64.0,0.393,11.72,0,0,17106,6.64,32,15,46.9
3803,Grand Meadow,135,0.0,0.0,6.2,3.1,89.9,0.0,0.8,129.0,129.0,0.132,13.02,0,0,14708,-1.7916666666666667,28,9,32.1
3831,Goodhue,136,,,,,,,,,,,,0,0,†,12.03448275862069,32,22,68.8
3863,Grand Rapids,137,7.0,0.5,1.2,0.5,88.0,0.1,2.7,1174.0,1174.0,0.228,19.42,0,0,19733,-8.482758620689655,31,7,22.6
3894,Groves Academy,138,,,,,,,,,,,,0,0,,-27.77777777777778,13,2,15.4
3907,Greenway,139,8.3,0.0,4.7,1.0,78.3,0.0,7.7,300.0,300.0,0.353,14.49,0,0,22086,-4.16,28,11,39.300000000000004
3935,Hawley,140,0.7,0.7,2.8,0.0,94.7,0.2,0.9,434.0,289.0,0.055,17.24,0,0,13658,11.115384615384615,30,18,60.0
3965,Heritage Christian Academy,141,,,,,,,,387.0,113.0,,10.06,1,1,,-9.454545454545455,22,8,36.4
3987,Harding,142,2.1,53.5,15.8,18.5,5.2,0.2,4.7,1812.0,1812.0,0.679,19.31,0,0,22154,-17.321428571428573,32,6,18.8
4019,Hancock,143,0.0,0.0,7.6,0.5,89.8,0.0,2.0,197.0,125.0,0.162,13.69,0,0,15277,12.758620689655173,31,23,74.2
4050,Hastings,144,0.4,1.0,6.6,2.4,85.5,0.0,4.0,1343.0,1343.0,0.125,22.8,0,0,15818,-16.59259259259259,29,4,13.8
4079,Hayfield,145,0.5,0.0,7.4,0.0,89.4,0.0,2.6,379.0,210.0,0.222,18.21,0,0,15004,19.08823529411765,39,32,82.1
4118,Henning,146,2.7,1.3,3.3,0.7,91.3,0.0,0.7,150.0,96.0,0.26,13.72,0,0,14948,14.793103448275861,34,23,67.60000000000001
4152,Heron Lake-Okabena,147,1.6,2.2,20.5,0.5,72.4,0.0,2.7,185.0,131.0,0.378,16.24,0,0,15750,-6.888888888888889,24,3,12.5
4176,Hermantown,148,0.9,0.9,2.0,0.5,90.8,0.0,4.9,654.0,654.0,0.086,23.4,0,0,12939,6.625,33,21,63.6
4209,Heron Lake-Okabena/Fulda,149,,,,,,,,,,,,0,0,,-1.1176470588235294,17,10,58.8
4226,Hiawatha Collegiate,150,,,,,,,,,,,,0,0,,22.866666666666667,24,11,45.800000000000004
4250,Hibbing/Victory Christian Academy,151,,,,,,,,,,,,0,0,,10.263157894736842,19,14,73.7
4269,Hibbing,152,0.8,0.7,2.8,1.7,86.4,0.4,7.3,1020.0,663.0,0.252,20.62,0,0,17517,6.6521739130434785,23,15,65.2
4292,Hill City,153,7.4,0.0,4.3,2.1,77.7,0.0,8.5,94.0,94.0,0.383,15.64,0,0,20932,-16.833333333333332,29,7,24.099999999999998
4321,Highland Park,154,0.0,1.1,6.3,42.1,47.4,0.0,3.2,95.0,49.0,0.453,3.7,1,0,15261,-6.851851851851852,29,10,34.5
4350,Hill-Murray,155,0.2,5.9,6.0,3.6,80.5,0.0,3.8,866.0,641.0,,12.96,1,1,,-21.62962962962963,28,3,10.7
4378,Hillcrest Lutheran Academy,156,0.0,7.1,1.1,4.4,87.4,0.0,0.0,182.0,143.0,,13.0,1,1,,9.25,28,21,75.0
4406,Hmong Academy,157,0.0,0.0,0.0,100.0,0.0,0.0,0.0,453.0,285.0,0.962,19.91,1,0,14288,-35.529411764705884,20,3,15.0
4426,Hills-Beaver Creek,158,,,,,,,,,,,,0,0,,-2.1538461538461537,31,12,38.7
4457,Hinckley-Finlayson,159,15.8,1.5,4.8,1.3,68.6,0.0,7.9,455.0,284.0,0.512,16.28,0,0,15850,-11.227272727272727,26,9,34.599999999999994
4483,Houston/La Crescent,160,,,,,,,,,,,,0,0,,-34.05263157894737,19,0,0.0
4502,Holdingford,161,0.0,0.2,2.2,1.2,94.9,0.2,1.2,489.0,313.0,0.178,19.0,0,0,15378,-21.416666666666668,28,3,10.7
4530,Holy Trinity,162,,,,,,,,,,,,0,0,,0.75,24,5,20.8
4554,Holy Family Catholic,163,0.3,0.3,6.7,1.0,90.7,0.5,0.5,386.0,386.0,,13.26,1,1,,4.115384615384615,29,14,48.3
4583,Howard Lake-Waverly-Winsted,164,0.3,0.6,7.5,0.8,88.3,0.0,2.5,358.0,358.0,0.154,18.27,0,0,16054,3.6,25,4,16.0
4608,Hopkins,165,0.6,5.7,12.6,24.9,48.9,0.1,7.3,1599.0,1599.0,0.293,20.49,0,0,19164,3.814814814814815,29,17,58.599999999999994
4637,Houston,166,1.5,1.8,9.1,12.8,67.7,0.3,6.8,650.0,650.0,0.329,12.8,0,0,11734,-29.25925925925926,27,1,3.6999999999999997
4664,Hope Academy,167,1.6,1.6,25.4,37.8,23.8,0.0,9.6,550.0,105.0,,13.92,1,1,,-1.5862068965517242,36,15,41.699999999999996
4700,Howard Lake-Waverly-Winsted/Holy Trinity,168,,,,,,,,,,,,0,0,,-13.875,24,4,16.7
4724,Humboldt,169,0.8,43.9,19.7,25.5,4.6,0.0,5.4,1065.0,717.0,0.762,16.07,0,0,22154,-28.272727272727273,24,2,8.3
4748,Humboldt/Open World Learning,170,,,,,,,,,,,,0,0,,-29.181818181818183,22,2,9.1
4770,Hutchinson,171,0.0,0.0,42.9,0.0,57.1,0.0,0.0,7.0,7.0,0.0,0.0,0,0,18229,3.6785714285714284,30,17,56.699999999999996
4800,Jackson County Central,172,,,,,,,,,,,,0,0,†,-4.0,30,11,36.7
4830,International Falls,173,,,,,,,,,,,,0,0,,-23.666666666666668,27,4,14.799999999999999
4857,International School of Minnesota/Eagle Ridge Academy,174,0.0,0.0,0.0,0.0,0.0,0.0,100.0,206.0,90.0,,4.2,1,1,,4.142857142857143,21,4,19.0
4878,Irondale,175,0.3,8.4,15.3,18.8,49.8,0.1,7.3,1779.0,1779.0,0.352,23.91,0,0,17897,-1.1481481481481481,27,15,55.60000000000001
4905,John Marshall,176,,,,,,,,,,,,0,1,18898,-11.88,29,8,27.6
4934,Jefferson,177,0.6,6.6,10.4,9.7,65.3,0.1,7.4,1676.0,1676.0,0.194,32.8,0,0,18827,5.285714285714286,28,21,75.0
4962,Kaleidoscope,178,,,,,,,,,,,,0,0,,-4.739130434782608,31,11,35.5
4993,Jordan,179,0.7,2.1,13.6,2.3,76.6,0.2,4.6,610.0,610.0,0.138,17.65,0,0,13786,4.92,28,16,57.099999999999994
5021,Kelley,180,1.8,1.2,0.0,1.2,92.9,0.0,3.0,168.0,104.0,0.244,14.97,0,0,15039,-14.333333333333334,27,4,14.799999999999999
5048,Johnson,181,9.9,6.6,18.7,37.4,24.2,0.0,3.3,91.0,91.0,0.802,14.4,1,0,17485,14.04,25,19,76.0
5073,Kasson-Mantorville,182,0.3,0.5,4.2,0.6,91.2,0.0,3.2,649.0,649.0,0.083,30.67,0,0,13658,5.392857142857143,30,18,60.0
5103,Kerkhoven-Murdock-Sunburg,183,0.5,0.0,13.2,1.6,83.5,0.0,1.1,364.0,232.0,0.228,18.21,0,0,13810,10.428571428571429,29,18,62.1
5132,Kelliher/Northome,184,47.4,0.0,0.0,2.2,49.6,0.0,0.7,135.0,94.0,0.57,10.47,0,0,21620,-21.72222222222222,27,5,18.5
5159,Kimball,185,0.0,0.0,2.0,0.4,95.2,0.0,2.4,457.0,265.0,0.079,17.62,0,0,16300,-0.5384615384615384,29,13,44.800000000000004
5188,Kennedy,186,0.0,3.2,40.8,32.0,15.2,0.0,8.8,125.0,125.0,0.672,34.34,0,0,18827,-12.545454545454545,24,4,16.7
