,Team 1,Team 1 Label,num boys Sports,T1 American Indian/Alaska Native,T1 Asian or Asian/Pacific Islander,T1 Hispanic,T1 Black,T1 White,T1 Nat. Hawaiian or Other Pacific Isl.,T1 Two or More Races,T1 Total Students,T1 Grades 9-12 Students,T1 Pupil/Teacher Ratio,T1 Charter School,T1 Magnet School,T1 Private School,MV,Total Games,Total Wins,Win Percentage
3,Academy of Holy Angels,4,7.0,,,,,,,,645.0,515.0,0.0,1,1,1.0,-0.5769230769230769,30,9,30.0
34,Bethlehem Academy,35,5.0,0.0,1.6,6.6,2.5,87.7,0.0,1.6,244.0,152.0,12.45,1,1,1.0,-7.454545454545454,25,9,36.0
43,Breck,44,7.0,1.2,6.7,3.4,8.8,68.7,0.0,11.1,1120.0,484.0,11.46,1,1,1.0,0.0,29,10,34.5
82,Cotter,83,5.0,0.3,11.7,2.7,0.5,79.5,0.0,5.3,376.0,245.0,14.52,1,1,1.0,-16.0,21,3,14.3
92,DeLaSalle,93,5.0,0.7,5.0,14.2,18.0,45.2,0.8,16.2,728.0,728.0,16.74,1,1,1.0,17.266666666666666,34,23,67.60000000000001
122,Fourth Baptist Christian,123,4.0,0.0,6.6,4.0,6.6,74.5,0.0,8.4,299.0,77.0,14.86,1,1,1.0,-9.4,12,4,33.300000000000004
123,First Baptist,124,4.0,0.0,7.1,11.6,20.2,57.1,0.0,4.0,233.0,57.0,10.0,1,1,1.0,11.185185185185183,29,18,62.1
140,Heritage Christian Academy,141,6.0,,,,,,,,387.0,113.0,10.06,1,1,1.0,-9.454545454545457,22,8,36.4
154,Hill-Murray,155,7.0,0.2,5.9,6.0,3.6,80.5,0.0,3.8,866.0,641.0,12.96,1,1,1.0,-21.62962962962963,28,3,10.7
155,Hillcrest Lutheran Academy,156,5.0,0.0,7.1,1.1,4.4,87.4,0.0,0.0,182.0,143.0,13.0,1,1,1.0,9.25,28,21,75.0
162,Holy Family Catholic,163,7.0,0.3,0.3,6.7,1.0,90.7,0.5,0.5,386.0,386.0,13.26,1,1,1.0,4.115384615384615,29,14,48.3
166,Hope Academy,167,4.0,1.6,1.6,25.4,37.8,23.8,0.0,9.6,550.0,105.0,13.92,1,1,1.0,-1.5862068965517242,36,15,41.7
173,International School of Minnesota/Eagle Ridge Academy,174,4.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,206.0,90.0,4.2,1,1,1.0,4.142857142857143,21,4,19.0
195,Lake Region Christian,196,4.0,0.6,3.9,7.8,2.2,84.9,0.6,0.0,224.0,36.0,13.36,1,1,1.0,18.428571428571427,8,6,75.0
200,Lakeview Christian Academy,201,6.0,0.0,3.7,0.7,5.9,80.0,0.0,9.6,153.0,49.0,6.14,1,1,1.0,-11.833333333333334,26,9,34.599999999999994
221,Loyola,222,5.0,0.0,2.2,3.4,1.9,80.8,0.0,11.6,487.0,123.0,9.18,1,1,1.0,13.11111111111111,27,19,70.39999999999999
228,Maranatha Christian Academy,229,5.0,0.0,5.4,3.5,21.9,60.4,0.3,8.5,683.0,239.0,12.1,1,1,1.0,15.9,35,24,68.60000000000001
234,Mayer Lutheran,235,5.0,0.0,1.1,1.7,0.6,96.7,0.0,0.0,181.0,181.0,12.4,1,1,1.0,4.25925925925926,30,14,46.7
248,Minnehaha Academy,249,7.0,0.5,2.7,5.5,13.9,67.6,0.0,9.8,810.0,369.0,10.74,1,1,1.0,2.576923076923077,31,16,51.6
250,Minnesota Valley Lutheran,251,5.0,0.9,3.2,1.8,3.7,90.3,0.0,0.0,217.0,217.0,13.65,1,1,1.0,-7.0,28,6,21.4
261,Mounds Park Academy,262,5.0,0.2,5.9,6.0,3.6,80.5,0.0,3.8,866.0,641.0,12.96,1,1,1.0,-17.181818181818183,29,3,10.3
273,New Ulm Cathedral,274,6.0,0.0,0.5,0.0,0.0,95.3,0.0,4.2,191.0,111.0,12.73,1,1,1.0,2.571428571428572,28,18,64.3
293,Owatonna Christian,294,5.0,0.0,0.0,0.0,12.6,87.4,0.0,0.0,94.0,22.0,10.24,1,1,1.0,-7.388888888888889,18,5,27.800000000000004
329,Richfield,330,6.0,,,,,,,,645.0,515.0,0.0,1,1,1.0,2.8461538461538463,26,13,50.0
344,Sacred Heart,345,4.0,0.5,3.6,1.0,0.5,84.5,0.0,9.9,473.0,112.0,10.46,1,1,1.0,12.06896551724138,36,25,69.39999999999999
351,Schaeffer Academy,352,4.0,0.0,7.4,2.1,5.0,85.5,0.0,0.0,283.0,80.0,11.74,1,1,1.0,-3.2142857142857144,32,13,40.6
357,Southwest Christian,358,8.0,0.0,3.7,1.6,4.0,89.6,1.1,0.0,374.0,374.0,13.8,1,1,1.0,1.1111111111111112,27,15,55.60000000000001
358,Southwest Minnesota Christian,359,4.0,0.9,0.9,1.8,0.9,91.9,0.0,3.6,111.0,111.0,10.28,1,1,1.0,16.652173913043477,30,18,60.0
364,St. Agnes,365,5.0,0.3,8.8,9.2,10.0,66.6,0.0,5.0,771.0,307.0,15.67,1,1,1.0,14.516129032258064,35,21,60.0
371,St. Croix Lutheran,372,5.0,0.0,24.1,4.8,4.6,56.4,0.0,10.1,477.0,406.0,11.66,1,1,1.0,-9.178571428571429,32,7,21.9
377,St. Mary's,378,5.0,0.0,0.0,0.4,0.8,98.8,0.0,0.0,280.0,79.0,9.57,1,1,1.0,15.125,32,28,87.5
379,St. Paul Academy-Summit,380,7.0,0.5,19.8,5.7,6.6,67.4,0.0,0.0,925.0,422.0,8.19,1,1,1.0,1.96,31,14,45.2
390,Trinity at River Ridge,391,5.0,1.2,2.3,3.1,2.3,87.6,1.9,1.6,258.0,169.0,8.57,1,1,1.0,-1.1538461538461535,26,12,46.2
391,Totino-Grace,392,7.0,0.0,8.0,0.0,33.0,3.2,0.0,55.8,393.0,80.0,13.44,1,1,1.0,13.375,32,26,81.2
419,West Lutheran,420,5.0,0.0,1.5,0.0,3.0,93.2,0.0,2.3,133.0,133.0,9.5,1,1,1.0,6.862068965517241,37,20,54.1
452,Arizona Lutheran Academy,453,9.0,7.3,7.3,21.4,4.7,59.4,0.0,0.0,192.0,192.0,12.08,1,1,1.0,26.785714285714285,28,24,85.7
455,Arrowhead Christian Academy,456,3.0,2.3,2.3,31.1,6.8,57.1,0.6,0.0,177.0,54.0,15.39,1,1,1.0,-14.5,16,5,31.2
476,Brophy College Prep,477,13.0,0.6,4.8,22.1,2.9,55.2,0.8,13.5,1407.0,1333.0,13.71,1,1,1.0,16.5,28,25,89.3
495,Central,496,11.0,0.6,4.8,22.1,2.9,55.2,0.8,13.5,1407.0,1333.0,13.71,1,1,1.0,-1.0434782608695652,23,10,43.5
512,Cortez,513,11.0,1.6,0.5,30.7,12.0,28.6,0.0,26.6,192.0,91.0,10.67,1,1,1.0,7.3478260869565215,23,12,52.2
514,Desert Christian,515,9.0,,,,,,,,204.0,48.0,15.0,1,1,1.0,6.28125,32,21,65.60000000000001
548,Gilbert Christian,549,11.0,,,,,,,,1372.0,315.0,12.67,1,1,1.0,2.1923076923076925,26,15,57.7
572,Immaculate Heart,573,10.0,0.0,5.0,48.3,1.7,41.7,1.7,1.7,60.0,60.0,4.32,1,1,1.0,8.555555555555555,19,11,57.9
575,Jones-Gordon,576,4.0,0.0,10.3,5.2,0.0,82.4,0.0,2.2,136.0,55.0,4.71,1,1,1.0,-28.0,8,0,0.0
587,Lourdes Catholic,588,6.0,0.0,1.1,98.9,0.0,0.0,0.0,0.0,294.0,49.0,14.52,1,1,1.0,-13.166666666666666,6,2,33.300000000000004
620,New Way Learning Academy,621,7.0,0.4,4.4,8.0,3.6,74.1,0.0,9.5,274.0,105.0,5.38,1,1,1.0,-15.88888888888889,13,5,38.5
629,North Pointe Prep,630,9.0,1.6,0.5,30.7,12.0,28.6,0.0,26.6,192.0,91.0,10.67,1,1,1.0,-19.944444444444443,18,1,5.6000000000000005
630,North Valley Christian Academy,631,7.0,1.4,2.4,5.1,4.8,86.0,0.3,0.0,355.0,87.0,11.45,1,1,1.0,6.642857142857143,28,16,57.1
631,Notre Dame Prep,632,12.0,0.1,1.8,5.6,0.4,92.1,0.0,0.0,837.0,837.0,12.76,1,1,1.0,12.071428571428571,28,19,67.9
632,Northwest Christian,633,10.0,1.4,3.5,10.6,1.2,78.6,0.0,4.9,1468.0,449.0,15.6,1,1,1.0,7.48,25,15,60.0
646,Phoenix Christian,647,11.0,0.7,4.4,41.8,17.9,29.0,3.2,3.0,473.0,186.0,14.55,1,1,1.0,10.321428571428571,29,19,65.5
647,Phoenix Country Day,648,12.0,0.6,13.3,5.9,2.6,64.9,0.0,12.6,757.0,290.0,9.2,1,1,1.0,18.56,26,20,76.9
656,Pusch Ridge Christian Academy,657,11.0,0.5,2.1,14.3,1.4,76.1,0.4,5.2,560.0,344.0,13.46,1,1,1.0,11.666666666666666,24,18,75.0
661,Rancho Solano Prep,662,10.0,,,,,,,,503.0,142.0,7.53,1,1,1.0,17.4375,32,24,75.0
663,Ridgeline Academy,664,6.0,1.4,2.4,5.1,4.8,86.0,0.3,0.0,355.0,87.0,11.45,1,1,1.0,14.705882352941176,18,15,83.3
686,Scottsdale Christian Academy,687,11.0,0.4,1.9,3.6,3.1,89.7,0.3,1.0,818.0,229.0,12.9,1,1,1.0,15.571428571428571,28,24,85.7
719,The Gregory School,720,8.0,0.0,9.2,9.8,4.5,65.4,0.3,10.8,335.0,158.0,7.05,1,1,1.0,2.0,25,12,48.0
721,Thunderbird Adventist Academy,722,6.0,0.8,12.9,42.4,16.7,24.2,3.0,0.0,132.0,132.0,12.11,1,1,1.0,12.555555555555555,18,12,66.7
726,Tri-City Christian Academy,727,5.0,0.0,5.4,10.7,4.9,79.0,0.0,0.0,205.0,63.0,9.32,1,1,1.0,27.27777777777778,19,19,100.0
735,Valley Christian,736,10.0,0.8,3.3,8.8,4.5,78.6,0.8,3.3,916.0,445.0,15.32,1,1,1.0,17.666666666666668,30,27,90.0
748,Wickenburg Christian Academy,749,4.0,3.9,2.0,12.8,0.0,81.4,0.0,0.0,139.0,23.0,8.16,1,1,1.0,12.142857142857142,25,17,68.0
762,Archbishop Murphy,763,9.0,2.6,15.8,5.0,4.6,59.0,0.6,12.4,500.0,500.0,13.05,1,1,1.0,-2.75,20,7,35.0
773,Annie Wright,774,8.0,2.0,22.9,3.3,3.1,48.2,0.2,20.1,604.0,229.0,8.4,1,1,1.0,17.862068965517242,31,22,71.0
776,Bellarmine Prep,777,7.0,0.5,13.8,5.4,4.7,60.1,2.0,13.5,847.0,847.0,13.82,1,1,1.0,6.181818181818182,23,11,47.8
785,Bellevue Christian,786,6.0,0.6,21.4,2.5,0.6,74.8,0.0,0.0,485.0,350.0,8.29,1,1,1.0,-7.545454545454546,24,8,33.300000000000004
791,Bush,792,5.0,0.4,9.6,2.7,5.0,66.3,0.0,16.0,677.0,290.0,7.91,1,1,1.0,-0.875,17,8,47.1
795,Cascade Christian,796,7.0,1.3,11.0,3.7,2.9,68.6,0.5,12.0,382.0,230.0,13.64,1,1,1.0,-5.590909090909091,24,12,50.0
802,Cedar Park Christian,803,8.0,0.0,11.8,1.6,3.5,72.8,0.0,10.2,269.0,59.0,12.39,1,1,1.0,0.3478260869565217,23,11,47.8
805,Charles Wright,806,9.0,1.6,13.0,11.1,5.4,52.1,0.0,17.0,612.0,247.0,8.28,1,1,1.0,-11.736842105263158,21,4,19.0
824,Columbia Adventist Academy,825,5.0,0.0,4.9,20.8,2.8,71.5,0.0,0.0,144.0,144.0,8.78,1,1,1.0,1.4285714285714286,14,6,42.9
827,Concordia Christian Academy,828,3.0,1.5,10.2,18.2,4.4,61.3,4.4,0.0,137.0,45.0,11.42,1,1,1.0,-17.666666666666668,18,2,11.1
833,Crosspoint,834,7.0,1.9,4.8,7.3,6.4,77.7,1.9,0.0,314.0,107.0,11.46,1,1,1.0,11.583333333333334,27,17,63.0
841,DeSales,842,9.0,,,,,,,,85.0,85.0,0.0,1,1,1.0,12.925925925925926,27,21,77.8
847,Eastside Prep,848,5.0,0.0,27.8,0.6,1.2,56.0,0.2,14.2,486.0,288.0,9.27,1,1,1.0,7.0,8,6,75.0
849,Eastside Catholic,850,9.0,0.7,8.5,5.7,5.3,67.0,2.6,10.2,862.0,647.0,11.57,1,1,1.0,10.193548387096774,31,20,64.5
861,Evergreen Lutheran,862,8.0,1.2,17.3,0.0,1.2,75.3,0.0,4.9,81.0,81.0,9.2,1,1,1.0,-3.25,13,5,38.5
865,Firm Foundation Christian,866,5.0,0.7,4.9,7.1,0.7,86.4,0.3,0.0,343.0,52.0,12.62,1,1,1.0,-4.555555555555555,19,10,52.6
881,Grace Academy,882,4.0,18.5,6.4,3.2,3.5,57.6,0.0,10.8,337.0,81.0,13.48,1,1,1.0,9.11111111111111,18,11,61.1
882,Gonzaga Prep,883,6.0,0.0,0.0,4.6,0.0,95.4,0.0,0.0,65.0,19.0,8.23,1,1,1.0,7.12,25,15,60.0
900,Jefferson,901,6.0,0.0,0.6,2.3,1.7,95.4,0.0,0.0,193.0,9.0,15.35,1,1,1.0,-22.0,19,2,10.5
913,Kentridge,914,10.0,0.0,5.4,0.0,6.4,88.2,0.0,0.0,120.0,3.0,12.94,1,1,1.0,8.222222222222221,18,10,55.60000000000001
915,King's,916,8.0,0.2,19.7,5.5,4.4,65.6,0.0,4.6,456.0,456.0,14.12,1,1,1.0,18.53846153846154,27,23,85.2
923,La Salle,924,6.0,1.7,3.9,36.5,0.0,45.6,0.0,12.2,230.0,230.0,11.92,1,1,1.0,-18.05263157894737,21,4,19.0
931,Lake Washington,932,6.0,0.0,27.8,0.6,1.2,56.0,0.2,14.2,486.0,288.0,9.27,1,1,1.0,12.045454545454543,24,17,70.8
937,Liberty Christian,938,5.0,0.8,5.0,5.0,2.5,81.9,0.0,4.7,379.0,107.0,11.46,1,1,1.0,9.090909090909092,22,14,63.6
939,Life Christian Academy,940,8.0,0.4,12.3,8.6,8.6,62.3,0.0,7.8,537.0,165.0,11.81,1,1,1.0,28.28,27,23,85.2
948,Lynden Christian,949,9.0,0.5,6.4,3.2,1.2,88.8,0.0,0.0,1231.0,352.0,11.5,1,1,1.0,19.13636363636364,25,21,84.0
970,Mount Vernon Christian,971,7.0,3.9,3.2,4.6,1.1,86.5,0.7,0.0,309.0,90.0,11.85,1,1,1.0,13.583333333333334,24,17,70.8
995,Northwest,996,6.0,0.6,20.8,4.3,5.7,57.1,0.0,11.6,510.0,351.0,7.14,1,1,1.0,-5.0,23,5,21.7
996,Northwest Christian,997,9.0,0.8,33.1,4.1,2.5,57.8,1.6,0.0,121.0,121.0,10.08,1,1,1.0,-11.681818181818182,22,6,27.3
997,Northwest Yeshiva,998,6.0,0.0,0.0,2.3,0.0,97.7,0.0,0.0,43.0,43.0,3.19,1,1,1.0,13.181818181818182,28,17,60.7
999,Northwest Christian School,1000,8.0,0.7,2.6,0.3,1.7,91.6,0.3,2.7,734.0,180.0,13.23,1,1,1.0,1.1153846153846154,26,16,61.5
1014,Overlake,1015,6.0,0.6,16.7,3.2,2.1,30.6,0.0,46.8,532.0,303.0,6.93,1,1,1.0,4.636363636363637,24,14,58.3
1019,Pope John Paul II,1020,6.0,1.0,7.0,16.0,1.0,67.0,1.0,7.0,100.0,100.0,10.53,1,1,1.0,-2.4444444444444446,12,5,41.7
1021,Providence Classical Christian,1022,5.0,0.0,11.8,1.6,3.5,72.8,0.0,10.2,269.0,59.0,12.39,1,1,1.0,-5.0,8,3,37.5
1044,Riverside Christian,1045,6.0,0.6,3.1,12.0,2.2,82.2,0.0,0.0,357.0,111.0,11.01,1,1,1.0,14.695652173913045,23,17,73.9
1066,Skyline,1067,6.0,0.0,7.0,4.7,7.0,72.1,0.0,9.3,43.0,40.0,5.12,1,1,1.0,5.380952380952381,25,14,56.00000000000001
1067,Shorewood,1068,9.0,0.2,19.7,5.5,4.4,65.6,0.0,4.6,456.0,456.0,14.12,1,1,1.0,-6.176470588235294,18,5,27.800000000000004
1076,South Whidbey,1077,8.0,0.0,0.0,2.7,0.9,88.3,0.0,8.1,130.0,15.0,13.37,1,1,1.0,-26.176470588235293,21,2,9.5
1078,St. George's,1079,7.0,0.0,16.0,2.0,2.6,69.1,0.0,10.3,350.0,154.0,9.62,1,1,1.0,-0.0416666666666666,24,12,50.0
1089,Sunnyside Christian,1090,4.0,0.0,0.9,24.8,1.4,72.9,0.0,0.0,246.0,60.0,11.38,1,1,1.0,13.925925925925926,27,20,74.1
1099,Tri-Cities Prep,1100,7.0,0.0,0.0,21.6,1.3,69.3,3.3,4.6,153.0,153.0,12.97,1,1,1.0,2.0869565217391304,23,13,56.49999999999999
1108,Valley Christian,1109,6.0,1.2,4.2,0.4,0.4,89.6,0.0,4.2,256.0,52.0,14.09,1,1,1.0,1.7142857142857142,21,10,47.6
1135,Woodinville,1136,8.0,5.8,6.2,3.6,1.0,83.5,0.0,0.0,309.0,247.0,11.88,1,1,1.0,2.608695652173913,23,14,60.9
1139,Beth Haven Christian,1140,4.0,0.0,0.0,0.0,4.6,94.2,0.0,1.2,91.0,31.0,8.88,1,1,1.0,5.090909090909091,11,4,36.4
1141,Charleston Catholic,1142,6.0,0.0,3.6,2.5,1.6,87.8,0.0,4.5,441.0,254.0,12.82,1,1,1.0,-5.090909090909091,22,8,36.4
1146,Calvary Baptist Academy,1147,4.0,0.0,0.0,1.9,0.5,97.6,0.0,0.0,207.0,69.0,14.38,1,1,1.0,28.30434782608696,23,22,95.7
1148,Covenant,1149,4.0,0.0,1.7,0.0,4.5,91.1,0.0,2.8,179.0,28.0,10.47,1,1,1.0,3.533333333333333,30,19,63.3
1149,Cross Lanes Christian,1150,4.0,0.0,0.4,1.3,1.3,96.9,0.0,0.0,227.0,96.0,11.95,1,1,1.0,-0.3,20,11,55.00000000000001
1168,Heritage Christian,1169,1.0,0.0,1.4,0.7,0.7,97.2,0.0,0.0,167.0,11.0,8.34,1,1,1.0,-3.4615384615384617,15,4,26.700000000000003
1176,Hurricane,1177,8.0,0.0,0.0,1.9,0.5,97.6,0.0,0.0,207.0,69.0,14.38,1,1,1.0,-11.173913043478262,23,5,21.7
1182,Lewisburg Baptist Academy,1183,2.0,0.0,0.0,2.4,2.4,95.2,0.0,0.0,179.0,37.0,12.85,1,1,1.0,-10.882352941176473,18,5,27.800000000000004
1194,Mercer Christian Academy,1195,5.0,0.0,1.5,0.0,1.0,95.9,0.0,1.5,224.0,54.0,13.68,1,1,1.0,12.911764705882351,34,25,73.5
1198,Morgantown Christian Academy,1199,3.0,0.0,0.0,2.8,0.0,97.2,0.0,0.0,145.0,43.0,11.79,1,1,1.0,13.238095238095235,21,15,71.39999999999999
1201,Mount Hope Christian Academy,1202,1.0,0.0,0.0,1.3,12.7,0.0,0.0,9.5,158.0,36.0,9.35,1,1,1.0,11.181818181818182,22,14,63.6
1203,New Life Christian Academy,1204,3.0,0.0,0.0,0.7,0.0,98.6,0.0,0.7,151.0,37.0,11.2,1,1,1.0,-37.84615384615385,19,0,0.0
1208,Notre Dame,1209,6.0,0.0,2.6,0.0,1.3,94.2,0.0,1.9,156.0,121.0,8.76,1,1,1.0,4.4,23,10,43.5
1211,Parkersburg Christian,1212,4.0,0.0,0.0,0.0,5.5,94.5,0.0,0.0,109.0,37.0,9.16,1,1,1.0,5.764705882352941,17,11,64.7
1212,Parkersburg Catholic,1213,6.0,3.4,5.0,5.0,3.4,80.7,0.0,2.5,119.0,93.0,7.04,1,1,1.0,-39.76190476190476,21,1,4.8
1232,Seneca Trail Christian Academy,1233,4.0,0.0,0.0,2.7,1.4,89.0,0.0,6.8,79.0,21.0,7.45,1,1,1.0,-26.214285714285715,14,3,21.4
1244,St. Joseph Central,1245,6.0,0.0,5.5,2.1,16.6,66.9,0.0,9.0,145.0,145.0,8.9,1,1,1.0,5.4,21,14,66.7
1245,Teays Valley Christian,1246,5.0,0.0,1.9,1.5,0.8,94.3,0.0,1.5,263.0,93.0,17.65,1,1,1.0,14.48148148148148,27,18,66.7
1260,Wood County Christian,1261,5.0,0.0,0.0,1.2,1.2,95.5,0.8,1.2,261.0,74.0,11.18,1,1,1.0,-11.625,16,5,31.2
1267,Alabama School of Cyber Technology and Engineering,1268,6.0,0.0,0.0,0.7,98.3,0.0,0.0,1.0,299.0,101.0,13.72,1,1,1.0,-27.666666666666668,6,0,0.0
1275,American Christian Academy,1276,8.0,0.0,1.5,2.1,3.7,92.4,0.0,0.3,986.0,307.0,12.79,1,1,1.0,-0.5714285714285714,28,15,53.6
1283,Alabama Christian Academy,1284,8.0,0.0,3.3,1.1,17.5,73.5,0.0,4.6,746.0,293.0,13.95,1,1,1.0,-15.1,22,3,13.6
1288,Autauga Academy,1289,5.0,0.0,0.0,0.0,14.9,85.1,0.0,0.0,266.0,123.0,11.14,1,1,1.0,26.77777777777778,18,18,100.0
1292,Bayshore Christian,1293,5.0,0.7,2.8,0.0,1.0,95.0,0.0,0.5,440.0,101.0,10.52,1,1,1.0,-9.478260869565217,23,5,21.7
1314,Briarwood Christian,1315,10.0,0.3,0.7,0.5,1.3,96.2,0.0,1.0,1739.0,582.0,10.86,1,1,1.0,-5.464285714285714,28,11,39.3
1341,Chambers Academy,1342,5.0,0.0,0.5,1.4,4.2,94.0,0.0,0.0,251.0,88.0,11.8,1,1,1.0,-3.692307692307693,13,5,38.5
1348,Chilton Christian Academy,1349,5.0,0.0,1.2,1.2,2.5,91.3,0.0,3.7,279.0,46.0,16.07,1,1,1.0,0.3333333333333333,27,12,44.4
1353,Clarke Prep,1354,5.0,0.0,0.9,0.7,0.0,98.4,0.0,0.0,435.0,137.0,9.82,1,1,1.0,-12.0,7,2,28.6
1354,Clay County Christian Academy,1355,3.0,0.7,0.0,0.7,1.4,97.1,0.0,0.0,143.0,54.0,9.86,1,1,1.0,1.5714285714285714,8,4,50.0
1355,Clements,1356,6.0,0.0,2.2,0.0,0.0,97.8,0.0,0.0,237.0,92.0,11.96,1,1,1.0,4.125,32,21,65.60000000000001
1368,Cornerstone Christian,1369,5.0,0.5,1.0,1.5,0.5,92.5,0.0,4.0,216.0,97.0,10.86,1,1,1.0,-14.928571428571429,14,4,28.6
1372,Coosa Christian,1373,6.0,0.0,3.6,1.5,11.2,81.6,0.0,2.0,252.0,63.0,11.26,1,1,1.0,-11.708333333333334,24,6,25.0
1375,Cottage Hill Christian Academy,1376,8.0,0.5,2.7,0.0,19.6,75.9,0.0,1.4,220.0,220.0,14.1,1,1,1.0,14.787878787878787,33,27,81.8
1377,Covenant Christian,1378,8.0,0.0,0.0,0.4,0.4,96.1,0.9,2.2,255.0,65.0,14.35,1,1,1.0,26.571428571428573,35,29,82.89999999999999
1380,Cornerstone Christian,1381,3.0,0.0,0.0,0.0,2.7,90.4,0.0,6.8,76.0,35.0,7.6,1,1,1.0,13.304347826086955,27,17,63.0
1386,Davidson,1387,8.0,1.9,1.9,0.0,5.8,90.4,0.0,0.0,52.0,2.0,4.95,1,1,1.0,-5.965517241379311,29,6,20.7
1393,Donoho,1394,7.0,0.0,7.9,2.2,6.6,83.3,0.0,0.0,341.0,138.0,11.24,1,1,1.0,-9.63157894736842,19,6,31.6
1403,Ellwood Christian,1404,5.0,0.0,1.9,0.0,15.7,79.2,0.0,3.1,159.0,80.0,12.23,1,1,1.0,-15.818181818181818,14,3,21.4
1404,Eastwood Christian,1405,4.0,0.0,5.6,2.2,3.4,85.3,0.0,3.4,247.0,68.0,10.64,1,1,1.0,-5.928571428571429,14,6,42.9
1407,Escambia Academy,1408,6.0,18.1,0.9,0.5,4.7,72.1,2.8,0.9,215.0,87.0,8.27,1,1,1.0,11.444444444444445,9,8,88.9
1411,Evangel Christian Academy,1412,6.0,0.0,0.6,1.2,78.8,15.0,0.0,4.4,258.0,66.0,9.25,1,1,1.0,2.6666666666666665,22,12,54.50000000000001
1420,Faith Christian,1421,7.0,0.0,4.0,7.5,7.5,79.0,0.0,2.0,263.0,94.0,6.45,1,1,1.0,4.764705882352941,34,23,67.60000000000001
1421,Faith Academy,1422,7.0,0.5,1.5,1.6,20.7,74.2,0.0,1.5,1691.0,528.0,17.52,1,1,1.0,5.121212121212121,33,19,57.6
1442,Government Street Christian,1443,1.0,0.0,4.5,3.0,53.4,39.1,0.0,0.0,133.0,20.0,9.5,1,1,1.0,-35.833333333333336,6,0,0.0
1459,Harvest Christian,1460,2.0,4.0,0.0,6.0,26.0,58.0,0.0,6.0,53.0,19.0,12.5,1,1,1.0,-2.5,6,3,50.0
1484,Houston Academy,1485,9.0,0.3,5.5,2.0,5.0,86.0,0.0,1.2,703.0,269.0,12.07,1,1,1.0,14.1,31,20,64.5
1498,Jefferson Christian Academy,1499,4.0,0.0,0.9,0.0,34.1,64.6,0.5,0.0,245.0,67.0,11.0,1,1,1.0,-21.11111111111111,22,4,18.2
1499,Jemison,1500,8.0,0.0,1.2,1.2,2.5,91.3,0.0,3.7,279.0,46.0,16.07,1,1,1.0,-13.655172413793103,31,5,16.1
1517,Lee-Scott Academy,1518,5.0,0.3,2.7,0.8,0.6,94.7,0.0,0.9,699.0,212.0,12.41,1,1,1.0,15.8,25,18,72.0
1542,Mars Hill Bible,1543,8.0,0.0,1.0,0.7,2.6,93.6,0.7,1.4,440.0,146.0,11.23,1,1,1.0,-1.03125,32,15,46.9
1544,McGill-Toolen,1545,8.0,0.3,2.7,2.1,21.0,69.5,0.4,4.0,961.0,961.0,13.33,1,1,1.0,19.1875,32,27,84.39999999999999
1547,Meadowview Christian,1548,4.0,0.0,1.9,0.0,15.7,79.2,0.0,3.1,159.0,80.0,12.23,1,1,1.0,-20.428571428571427,8,0,0.0
1554,Morgan Academy,1555,6.0,0.0,1.4,0.3,1.7,96.6,0.0,0.0,350.0,128.0,12.28,1,1,1.0,0.7,12,5,41.7
1555,Montgomery Catholic,1556,7.0,0.0,5.7,6.6,17.5,62.9,0.1,7.1,757.0,285.0,10.54,1,1,1.0,1.4166666666666667,25,13,52.0
1557,Montgomery Academy,1558,10.0,0.0,0.6,1.2,78.8,15.0,0.0,4.4,258.0,66.0,9.25,1,1,1.0,-2.56,25,12,48.0
1558,Mobile Christian,1559,7.0,0.5,1.9,0.9,15.9,79.0,0.0,1.8,727.0,264.0,13.58,1,1,1.0,1.903225806451613,31,16,51.6
1559,Mountain View Christian Academy,1560,2.0,3.3,2.2,0.0,2.2,92.3,0.0,0.0,127.0,25.0,6.5,1,1,1.0,28.394736842105264,38,33,86.8
1567,North River Christian,1568,5.0,,,,,,,,292.0,58.0,12.8,1,1,1.0,-15.0,21,5,23.8
1574,Northside Methodist Academy,1575,7.0,,,,,,,,660.0,213.0,13.26,1,1,1.0,-15.22222222222222,27,7,25.9
1579,Oakwood Academy,1580,5.0,0.0,0.0,0.7,98.3,0.0,0.0,1.0,299.0,101.0,13.72,1,1,1.0,3.6666666666666665,24,13,54.2
1590,Pickens Academy,1591,5.0,0.0,0.0,0.0,1.9,98.1,0.0,0.0,282.0,88.0,19.07,1,1,1.0,-12.444444444444445,9,2,22.2
1598,Pineview Christian,1599,3.0,0.0,1.0,4.1,13.4,78.4,0.0,3.1,97.0,19.0,9.6,1,1,1.0,-20.0,6,1,16.7
1606,Prattville Christian Academy,1607,8.0,0.2,0.3,0.3,9.5,85.4,0.0,4.3,682.0,231.0,13.0,1,1,1.0,2.6153846153846154,27,9,33.300000000000004
1611,Providence Christian,1612,9.0,0.0,0.5,0.3,1.1,97.5,0.0,0.6,645.0,222.0,15.0,1,1,1.0,4.041666666666667,25,14,56.00000000000001
1622,Saint James,1623,8.0,0.0,5.7,6.6,17.5,62.9,0.1,7.1,757.0,285.0,10.54,1,1,1.0,8.72,25,17,68.0
1633,Restoration Academy,1634,5.0,0.0,0.0,0.0,94.2,3.6,0.0,2.2,363.0,76.0,11.34,1,1,1.0,-6.266666666666667,17,7,41.2
