,Team 1,Team 1 Label,num boys Sports,T1 American Indian/Alaska Native,T1 Asian or Asian/Pacific Islander,T1 Hispanic,T1 Black,T1 White,T1 Nat. Hawaiian or Other Pacific Isl.,T1 Two or More Races,T1 Total Students,T1 Grades 9-12 Students,T1 Pupil/Teacher Ratio,T1 Charter School,T1 Magnet School,T1 Private School,MV,Total Games,Total Wins,Win Percentage
10462,Marple Newtown,10463,,0.0,19.7,1.9,14.1,58.9,0.0,5.3,375.0,247.0,7.38,1,1,1.0,1.818181818181818,25,13,52.0
10463,Mars,10464,13.0,0.0,0.0,8.0,20.0,72.0,0.0,0.0,50.0,33.0,3.97,1,1,1.0,24.70833333333333,24,21,87.5
10468,Mastery Charter North - Pickett,10469,9.0,,,,,,,,124.0,64.0,13.78,1,1,1.0,3.238095238095238,22,14,63.6
10473,Meadowbrook Christian,10474,5.0,0.0,0.0,1.5,2.1,96.4,0.0,0.0,359.0,86.0,16.42,1,1,1.0,8.227272727272727,24,14,58.3
10478,Mercyhurst Prep,10479,9.0,0.0,20.3,2.5,2.7,71.1,0.0,3.4,523.0,497.0,5230.0,1,1,1.0,-2.0,25,10,40.0
10495,Monsignor Bonner/Archbishop Prendergast Catholic,10496,9.0,0.3,3.0,0.1,41.7,50.8,0.0,4.1,775.0,775.0,19.0,1,1,1.0,-0.6666666666666666,21,10,47.6
10500,Moorestown Friends,10501,5.0,0.3,17.6,3.8,13.5,54.8,0.3,9.7,695.0,319.0,8.75,1,1,1.0,-18.05555555555556,18,3,16.7
10504,Moravian Academy,10505,8.0,,,,,,,,298.0,298.0,6.26,1,1,1.0,-8.095238095238095,22,5,22.7
10507,Mount Calvary Christian,10508,5.0,0.2,3.4,1.6,2.9,90.4,0.5,1.1,520.0,114.0,10.25,1,1,1.0,21.266666666666666,30,27,90.0
10516,Nativity BVM,10517,7.0,0.0,6.9,4.2,1.1,84.7,0.0,3.2,189.0,189.0,11.12,1,1,1.0,14.93103448275862,30,23,76.7
10524,New Covenant Christian,10525,5.0,0.0,5.4,4.3,2.9,80.2,0.7,6.5,296.0,94.0,10.86,1,1,1.0,6.3478260869565215,23,14,60.9
10531,North Catholic,10532,10.0,0.0,2.0,1.0,1.5,92.0,0.7,2.7,590.0,590.0,12.69,1,1,1.0,17.181818181818183,22,18,81.8
10533,North Allegheny,10534,11.0,0.0,8.3,0.0,0.0,87.5,0.0,4.2,24.0,6.0,3.43,1,1,1.0,6.666666666666667,24,15,62.5
